URL,Score,Performance,Accessibility,Best Practices,SEO,FCP,LCP,CLS,FID,TBT,SI,Color Contrast,Headings,Image Alts,Link Names,Errors,Inspector Issues,Images Responsive,Image Aspect Ratio,Indexable
"/",82,58,96,81,92,1995.07,15740.71,0,212,81,7123.66,1,1,1,1,1,1,1,1,1
"/148/newsletter/january-2024-newsletter/",83,59,100,81,92,1987.03,6438.03,0,184,67,4179.58,1,1,1,1,1,1,1,1,1
"/150/newsletter/january-2023-newsletter/",83,60,100,81,92,1990.4,5599.4,0,244,97,3827.96,1,1,1,1,1,1,1,1,1
"/152/newsletter/january-2022-newsletter/",82,56,100,81,92,3382.58,7621.51,0,211,80.5,4706.36,1,1,1,1,1,1,1,1,1
"/154/newsletter/2025-26-winter-shut-down/",84,61,100,81,92,1996.46,5151.46,0,130,40,4037.5,1,1,1,1,1,1,1,1,1
"/155/upcoming-meetings/january-26-2022-board-meeting-agenda/",88,61,100,100,92,1989.47,7394.61,0,16,0,3056.68,1,1,1,1,1,1,1,1,1
"/163/upcoming-meetings/january-26-2022-board-meeting-minutes/",88,60,100,100,92,1986.55,6348.05,0,16,0,3472.42,1,1,1,1,1,1,1,1,1
"/164/upcoming-meetings/february-16-2022-board-meeting-agenda/",88,60,100,100,92,1983.66,7396.11,0,18,0,3262.47,1,1,1,1,1,1,1,1,1
"/165/upcoming-meetings/february-16-2022-board-meeting-minutes/",88,61,100,100,92,2003.6,6811.83,0,16,0,3041.52,1,1,1,1,1,1,1,1,1
"/168/upcoming-meetings/march-16-2022-board-meeting-agenda/",88,61,100,100,92,1980.52,5886.55,0,16,0,3236.65,1,1,1,1,1,1,1,1,1
"/169/upcoming-meetings/march-16-2022-board-meeting-minutes/",88,61,100,100,92,2014.36,6521.83,0,23,0,3151.21,1,1,1,1,1,1,1,1,1
"/172/upcoming-meetings/april-20-2022-board-meeting-agenda/",88,61,100,100,92,1985.19,7092.87,0,19,0,3080.6,1,1,1,1,1,1,1,1,1
"/173/upcoming-meetings/april-20-2022-board-meeting-minutes/",88,61,100,100,92,1982.83,7391.88,0,18,0,2821.35,1,1,1,1,1,1,1,1,1
"/176/upcoming-meetings/may-18-2022-board-meeting-agenda/",88,61,100,100,92,1987.84,7550.03,0,16,0,2963.47,1,1,1,1,1,1,1,1,1
"/177/upcoming-meetings/may-18-2022-board-meeting-minutes/",88,61,100,100,92,1981.09,7087.16,0,16,0,3063.66,1,1,1,1,1,1,1,1,1
"/180/upcoming-meetings/june-15-2022-board-meeting-agenda/",88,61,100,100,92,1980.74,7389.95,0,18,0,3173.75,1,1,1,1,1,1,1,1,1
"/181/upcoming-meetings/june-15-2022-board-meeting-minutes/",88,60,100,100,92,1993.9,7405.53,0,17,0,3241.4,1,1,1,1,1,1,1,1,1
"/184/upcoming-meetings/july-6-2022-special-board-meeting-minutes/",88,61,100,100,92,1991.51,7395.64,0,16,0,3155.7,1,1,1,1,1,1,1,1,1
"/185/upcoming-meetings/july-6-2022-special-board-meeting-agenda/",88,61,100,100,92,2005.83,7111.83,0,16,0,3181.63,1,1,1,1,1,1,1,1,1
"/189/upcoming-meetings/july-21-2022-special-board-meeting-minutes/",88,61,100,100,92,1978.23,7084.32,0,16,0,3243.82,1,1,1,1,1,1,1,1,1
"/191/upcoming-meetings/july-21-2022-special-board-meeting-agenda/",88,61,100,100,92,1981.84,7391.11,0,19,0,3174.55,1,1,1,1,1,1,1,1,1
"/192/upcoming-meetings/august-17-2022-board-meeting-minutes/",88,61,100,100,92,1988.91,7397.94,0,16,0,2898.19,1,1,1,1,1,1,1,1,1
"/193/upcoming-meetings/august-17-2022-board-meeting-agenda/",89,62,100,100,92,1983.4,7100.64,0,16,0,2783.62,1,1,1,1,1,1,1,1,1
"/196/upcoming-meetings/september-21-2022-board-meeting-minutes/",88,61,100,100,92,1991.62,7247.62,0,16,0,3195.65,1,1,1,1,1,1,1,1,1
"/197/upcoming-meetings/september-21-2022-board-meeting-agenda/",88,60,100,100,92,1987.66,7396.46,0,16,0,3311.74,1,1,1,1,1,1,1,1,1
"/200/upcoming-meetings/october-19-2022-board-meeting-agenda/",88,61,100,100,92,1922.32,5590.8,0,16,0,3467.09,1,1,1,1,1,1,1,1,1
"/201/upcoming-meetings/october-19-2022-board-meeting-minutes/",89,62,100,100,92,1990.42,5599.42,0,16,0,3109.79,1,1,1,1,1,1,1,1,1
"/204/upcoming-meetings/november-16-2022-board-meeting-minutes/",89,62,100,100,92,1893.08,5488.02,0,16,0,3407.34,1,1,1,1,1,1,1,1,1
"/205/upcoming-meetings/november-16-2022-board-meeting-agenda/",88,61,100,100,92,2527.15,5740.72,0,16,0,2574.27,1,1,1,1,1,1,1,1,1
"/208/upcoming-meetings/december-21-2022-board-meeting-minutes/",89,62,100,100,92,1891.83,5461.05,0,16,0,3074.59,1,1,1,1,1,1,1,1,1
"/209/upcoming-meetings/december-21-2022-board-meeting-agenda/",89,62,100,100,92,1991.73,5454.73,0,16,0,2985.18,1,1,1,1,1,1,1,1,1
"/212/upcoming-meetings/december-21-2022-board-meeting-minutes-2/",88,61,100,100,92,1991.59,5599.59,0,17,0,3181.02,1,1,1,1,1,1,1,1,1
"/213/upcoming-meetings/january-18-2023-board-meeting-agenda/",89,62,100,100,92,1993.38,5899.82,0,16,0,2908.78,1,1,1,1,1,1,1,1,1
"/217/upcoming-meetings/february-1-2023-special-board-meeting-agenda/",88,61,100,100,92,2001.04,5609.04,0,16,0,3204.43,1,1,1,1,1,1,1,1,1
"/218/upcoming-meetings/february-1-2023-special-board-meeting-minutes/",88,60,100,100,92,1991.71,7400.95,0,16,0,3343.13,1,1,1,1,1,1,1,1,1
"/221/upcoming-meetings/february-15-2023-board-meeting-agenda/",88,61,100,100,92,1992.54,7855.57,0,16,0,2822.49,1,1,1,1,1,1,1,1,1
"/222/upcoming-meetings/february-15-2023-board-meeting-minutes/",88,60,100,100,92,1989.22,7396.18,0,16,0,3218.67,1,1,1,1,1,1,1,1,1
"/227/upcoming-meetings/march-1-2023-special-board-meeting-agenda/",88,60,100,100,92,2003.9,7411.5,0,16,0,3195.82,1,1,1,1,1,1,1,1,1
"/228/upcoming-meetings/march-1-2023-special-board-meeting-minutes/",88,61,100,100,92,1989.22,7395.57,0,16,0,3118.49,1,1,1,1,1,1,1,1,1
"/229/upcoming-meetings/march-15-2023-board-meeting-minutes/",88,58,100,100,92,2597.34,7104.2,0,16,0,3577.46,1,1,1,1,1,1,1,1,1
"/230/upcoming-meetings/march-15-2023-board-meeting-agenda/",88,61,100,100,92,1996.65,7405.13,0,17,0,2896.97,1,1,1,1,1,1,1,1,1
"/235/upcoming-meetings/april-14-2023-grower-workshop-agenda/",88,61,100,100,92,1999.6,7104.81,0,16,0,3133.67,1,1,1,1,1,1,1,1,1
"/236/upcoming-meetings/april-14-2023-grower-workshop-minutes/",88,61,100,100,92,1986.58,7551.2,0,20,0,2807.83,1,1,1,1,1,1,1,1,1
"/237/upcoming-meetings/april-19-2023-board-meeting-agenda/",88,61,100,100,92,1997.47,7404.48,0,16,0,2854.92,1,1,1,1,1,1,1,1,1
"/238/upcoming-meetings/april-19-2023-board-meeting-minutes/",88,61,100,100,92,1985.83,7543,0,16,0,3003.95,1,1,1,1,1,1,1,1,1
"/241/upcoming-meetings/may-23-2023-board-meeting-minutes/",88,61,100,100,92,1992.67,7102.87,0,16,0,3192.97,1,1,1,1,1,1,1,1,1
"/242/upcoming-meetings/may-23-2023-board-meeting-agenda/",88,60,100,100,92,1998.41,7406.72,0,16,0,3198.4,1,1,1,1,1,1,1,1,1
"/243/upcoming-meetings/may-19-2023-special-board-meeting-agenda/",88,61,100,100,92,1990,7554.68,0,16,0,3112.33,1,1,1,1,1,1,1,1,1
"/244/upcoming-meetings/may-19-2023-special-board-meeting-minutes/",88,61,100,100,92,1992.17,7401.48,0,16,0,2913.37,1,1,1,1,1,1,1,1,1
"/250/upcoming-meetings/june-21-2023-board-meeting-agenda/",88,61,100,100,92,1992.25,7098.33,0,16,0,2972.08,1,1,1,1,1,1,1,1,1
"/252/upcoming-meetings/june-21-2023-board-meeting-minutes/",88,61,100,100,92,1987.92,7394.01,0,16,0,2845.21,1,1,1,1,1,1,1,1,1
"/253/upcoming-meetings/july-18-2023-strategic-planning-workshop-minutes/",88,60,100,100,92,1995.75,7703.11,0,16,0,3140.4,1,1,1,1,1,1,1,1,1
"/254/upcoming-meetings/july-18-2023-strategic-planning-workshop-agenda/",88,61,100,100,92,1994.69,7402.93,0,16,0,2927.04,1,1,1,1,1,1,1,1,1
"/259/upcoming-meetings/july-26-2023-special-board-meeting-agenda/",88,59,100,100,92,2935.07,7395.09,0,16,0,2988.49,1,1,1,1,1,1,1,1,1
"/260/upcoming-meetings/july-26-2023-special-board-meeting-minutes/",88,61,100,100,92,1987.74,7543.82,0,16,0,2807.78,1,1,1,1,1,1,1,1,1
"/261/upcoming-meetings/august-16-2023-board-meeting-minutes/",88,60,100,100,92,2012.32,7418.82,0,16,0,3154.43,1,1,1,1,1,1,1,1,1
"/262/upcoming-meetings/august-16-2023-board-meeting-agenda/",88,61,100,100,92,1987.92,7395.46,0,16,0,3166.31,1,1,1,1,1,1,1,1,1
"/265/upcoming-meetings/august-30-2023-special-board-meeting-agenda/",88,61,100,100,92,1988.48,7395.77,0,16,0,3087.23,1,1,1,1,1,1,1,1,1
"/266/upcoming-meetings/august-30-2023-special-board-meeting-minutes/",88,61,100,100,92,1990.71,7546.03,0,16,0,3087.49,1,1,1,1,1,1,1,1,1
"/269/upcoming-meetings/september-20-2023-board-meeting-agenda/",88,61,100,100,92,2001.36,7701.23,0,16,0,2994.81,1,1,1,1,1,1,1,1,1
"/271/upcoming-meetings/october-18-2023-board-meeting-agenda/",88,61,100,100,92,1997.84,7405.07,0,16,0,2844.4,1,1,1,1,1,1,1,1,1
"/272/upcoming-meetings/october-18-2023-board-meeting-minutes/",88,61,100,100,92,1998.48,7404.55,0,16,0,3014.92,1,1,1,1,1,1,1,1,1
"/277/upcoming-meetings/november-22-2023-special-board-meeting-agenda/",88,61,100,100,92,1999.09,7861.75,0,16,0,2944.06,1,1,1,1,1,1,1,1,1
"/278/upcoming-meetings/november-22-2023-special-board-meeting-minutes/",88,59,100,100,92,2932.93,9080.8,0,16,0,2932.93,1,1,1,1,1,1,1,1,1
"/279/upcoming-meetings/december-20-2023-board-meeting-minutes/",88,60,100,100,92,1992.65,7399.85,0,16,0,3203.32,1,1,1,1,1,1,1,1,1
"/280/upcoming-meetings/december-20-2023-board-meeting-agenda/",87,57,100,100,92,3807.76,8315.26,0,16,0,3807.76,1,1,1,1,1,1,1,1,1
"/283/upcoming-meetings/january-17-2024-board-meeting-agenda/",88,61,100,100,92,1994.05,7560.37,0,16,0,2882.17,1,1,1,1,1,1,1,1,1
"/284/upcoming-meetings/january-17-2024-board-meeting-minutes/",88,61,100,100,92,1992.84,7556.9,0,16,0,3000.97,1,1,1,1,1,1,1,1,1
"/289/upcoming-meetings/february-1-2024-special-board-meeting-minutes/",88,61,100,100,92,1994.62,7400.74,0,16,0,3124.5,1,1,1,1,1,1,1,1,1
"/290/upcoming-meetings/february-1-2024-special-board-meeting-agenda/",88,61,100,100,92,1998.97,7404.4,0,16,0,3042.9,1,1,1,1,1,1,1,1,1
"/291/upcoming-meetings/february-21-2024-board-meeting-minutes/",89,62,100,100,92,1984.83,7543.09,0,16,0,2751.57,1,1,1,1,1,1,1,1,1
"/292/upcoming-meetings/february-21-2024-board-meeting-agenda/",88,61,100,100,92,1989.51,7402.29,0,20,0,3144.63,1,1,1,1,1,1,1,1,1
"/295/upcoming-meetings/march-20-2024-board-meeting-agenda/",88,61,100,100,92,1994.05,6652.78,0,18,0,3300.64,1,1,1,1,1,1,1,1,1
"/296/upcoming-meetings/march-20-2024-board-meeting-minutes/",88,61,100,100,92,1993.88,7101.44,0,16,0,3198.9,1,1,1,1,1,1,1,1,1
"/299/upcoming-meetings/march-21-2024-grower-workshop-agenda/",88,61,100,100,92,1999.6,7696.73,0,16,0,2987.2,1,1,1,1,1,1,1,1,1
"/300/upcoming-meetings/march-21-2024-grower-workshop-minutes/",88,60,100,100,92,1993.26,7101.37,0,16,0,3338.57,1,1,1,1,1,1,1,1,1
"/303/upcoming-meetings/april-17-2024-board-meeting-agenda/",88,61,100,100,92,1988.78,6794.87,0,16,0,3004.6,1,1,1,1,1,1,1,1,1
"/304/upcoming-meetings/april-17-2024-board-meeting-minutes/",88,61,100,100,92,1996.82,7405.82,0,18,0,3009.01,1,1,1,1,1,1,1,1,1
"/309/upcoming-meetings/may-15-2024-board-meeting-minutes/",88,58,100,100,92,3160.79,7271.6,0,16,0,3468.14,1,1,1,1,1,1,1,1,1
"/310/upcoming-meetings/may-15-2024-board-meeting-agenda/",88,60,100,100,92,1991.31,7398.35,0,16,0,3218,1,1,1,1,1,1,1,1,1
"/313/upcoming-meetings/june-19-2024-board-meeting-agenda/",88,61,100,100,92,2005.71,6512.82,0,16,0,3198.65,1,1,1,1,1,1,1,1,1
"/314/upcoming-meetings/june-19-2024-board-meeting-minutes/",88,61,100,100,92,1991.54,7103.73,0,16,0,3277.41,1,1,1,1,1,1,1,1,1
"/317/upcoming-meetings/july-17-2024-board-meeting-agenda/",88,61,100,100,92,1995.86,7108.89,0,17,0,3191.72,1,1,1,1,1,1,1,1,1
"/318/upcoming-meetings/july-17-2024-board-meeting-minutes/",88,61,100,100,92,1994.97,7401.11,0,16,0,2961.61,1,1,1,1,1,1,1,1,1
"/319/upcoming-meetings/august-21-2024-board-meeting-agenda/",88,61,100,100,92,2000.99,7107.19,0,16,0,2967.36,1,1,1,1,1,1,1,1,1
"/320/upcoming-meetings/august-21-2024-board-meeting-minutes/",88,61,100,100,92,2010.89,7119.66,0,17,0,3168.71,1,1,1,1,1,1,1,1,1
"/323/upcoming-meetings/september-18-2024-board-meeting-agenda/",88,60,100,100,92,1985.26,7392.57,0,16,0,3277.6,1,1,1,1,1,1,1,1,1
"/324/upcoming-meetings/september-18-2024-board-meeting-minutes/",88,61,100,100,92,1993.19,7548.38,0,16,0,2814.1,1,1,1,1,1,1,1,1,1
"/329/upcoming-meetings/october-16-2024-board-meeting-minutes/",88,61,100,100,92,2012.56,7121.8,0,18,0,3025.8,1,1,1,1,1,1,1,1,1
"/330/upcoming-meetings/october-16-2024-board-meeting-agenda/",88,61,100,100,92,1986.96,7543.51,0,16,0,2882.2,1,1,1,1,1,1,1,1,1
"/333/upcoming-meetings/november-20-2024-board-meeting-minutes/",87,56,100,100,92,3824.41,8966.17,0,16,0,3824.41,1,1,1,1,1,1,1,1,1
"/334/upcoming-meetings/november-20-2024-board-meeting-agenda/",88,61,100,100,92,1988.68,7394.88,0,16,0,2940.8,1,1,1,1,1,1,1,1,1
"/337/upcoming-meetings/december-18-2024-board-meeting-agenda/",88,60,100,100,92,1999.95,7409.96,0,16,0,3259.97,1,1,1,1,1,1,1,1,1
"/338/upcoming-meetings/december-18-2024-board-meeting-minutes/",88,61,100,100,92,1987.65,7397.79,0,16,0,3080.56,1,1,1,1,1,1,1,1,1
"/339/upcoming-meetings/january-19-2025-board-meeting-minutes/",88,61,100,100,92,1989.28,7095.57,0,16,0,3005.69,1,1,1,1,1,1,1,1,1
"/342/upcoming-meetings/january-22-2025-special-board-meeting-agenda/",88,61,100,100,92,1988.02,7094.22,0,16,0,3003.43,1,1,1,1,1,1,1,1,1
"/344/upcoming-meetings/february-19-2025-board-meeting-agenda/",88,61,100,100,92,1987.46,7247.24,0,16,0,3266.52,1,1,1,1,1,1,1,1,1
"/351/upcoming-meetings/march-19-2025-board-meeting-agenda/",88,60,100,100,92,2002.52,8008.94,0,16,0,3190.65,1,1,1,1,1,1,1,1,1
"/352/upcoming-meetings/march-25-2025-special-board-meeting-agenda/",88,61,100,100,92,2005.48,6361.23,0,16,0,3029.78,1,1,1,1,1,1,1,1,1
"/353/upcoming-meetings/april-16-2025-board-meeting-agenda/",88,61,100,100,92,1986.71,7542.99,0,16,0,2975.55,1,1,1,1,1,1,1,1,1
"/354/upcoming-meetings/may-8-2025-special-board-meeting-agenda/",87,57,100,100,92,3799.84,7857.35,0,16,0,3799.84,1,1,1,1,1,1,1,1,1
"/356/upcoming-meetings/may-21-2025-board-meeting-agenda/",88,61,100,100,92,1990.83,7558.17,0,16,0,3090.39,1,1,1,1,1,1,1,1,1
"/374/upcoming-meetings/september-20-2025-board-meeting-minutes/",88,61,100,100,92,2019.55,7129.55,0,21,0,3109.16,1,1,1,1,1,1,1,1,1
"/418/upcoming-meetings/july-16-2025-board-meeting-agenda/",88,60,100,100,92,2002.29,7408.59,0,16,0,3397.97,1,1,1,1,1,1,1,1,1
"/435/upcoming-meetings/august-8-2025-special-board-meeting-agenda-cloned/",87,57,100,100,92,3790.62,7848.59,0,16,0,3790.62,1,1,1,1,1,1,1,1,1
"/440/upcoming-meetings/august-20-2025-regular-board-meeting-agenda/",88,61,100,100,92,2007.08,7713.28,0,16,0,3030.11,1,1,1,1,1,1,1,1,1
"/about/",87,61,100,100,85,1983.37,7392.13,0,16,0,3107.38,1,1,1,1,1,1,1,1,1
"/about/agenda-and-minutes/",86,61,98,100,85,1999.89,7405.51,0,16,0,3005.12,1,0,1,1,1,1,1,1,1
"/about/board-of-directors/",86,57,100,100,85,3808.83,7866.09,0,16,0,3808.83,1,1,1,1,1,1,1,1,1
"/about/employment/",86,59,100,100,85,2780.86,7558.15,0,16,0,2840.22,1,1,1,1,1,1,1,1,1,1
"/about/history/",85,56,100,100,85,3997.17,14331.66,0,16,0,3997.17,1,1,1,1,1,1,1,1,1
"/about/patterson-irrigation-district-maps/",85,59,96,100,85,1985.25,7242.38,0,16,0,10057.87,1,1,1,0,1,1,1,1,1
"/about/rates/",87,62,100,100,85,1989.08,7395.53,0,16,0,2775.39,1,1,1,1,1,1,1,1,1
"/about/water-management-plan/",87,61,100,100,85,1988.52,7095.35,0,16,0,3318.66,1,1,1,1,1,1,1,1,1
"/accessibility/",88,61,100,100,92,1987.22,7543.36,0,16,0,2794.26,1,1,1,1,1,1,1,1,1
"/billpay/",88,61,100,100,92,1996.28,7843.6,0,16,0,3056.52,1,1,1,1,1,1,1,1,1
"/category/newsletter/",87,63,100,100,85,1990,4984.12,0,16,0,2884.43,1,1,1,1,1,1,1,1,1
"/category/upcoming-meetings/",87,61,100,100,85,1997.14,7032.29,0,16,0,2865.24,1,1,1,1,1,1,1,1,1
"/connect/",87,61,100,100,85,2006.14,6663.14,0,16,0,3111.66,1,1,1,1,1,1,1,1,1,1
"/contact/",85,59,96,100,85,2150.36,6204.06,0,16,0,4095.16,1,0,1,1,1,1,1,1,1,1
"/contact/staff/",87,61,100,100,85,1986.91,7543.05,0,16,0,2961.91,1,1,1,1,1,1,1,1,1
"/faq_category/general/",87,62,100,100,85,1999.63,5905.91,0,16,0,2901.99,1,1,1,1,1,1,1,1,1
"/faq-items/",86,57,100,100,85,3958.98,6815.64,0,16,0,3958.98,1,1,1,1,1,1,1,1,1
"/faq-items/how-can-i-pay-my-bill/",89,62,100,100,92,2020.51,6376.51,0,16,0,2719.23,1,1,1,1,1,1,1,1,1
"/faq-items/how-do-i-go-about-connecting-to-the-district-with-a-new-irrigation-system/",88,61,100,100,92,2024.09,6832.42,0.01,16,0,2903.64,1,1,1,1,1,1,1,1,1
"/faq-items/how-do-i-order-water/",88,61,100,100,92,1997.15,7841.46,0,16,0,2986.08,1,1,1,1,1,1,1,1,1
"/faq-items/how-does-the-district-track-my-water-usage-and-bill-me/",89,62,100,100,92,1988.41,6857.45,0,16,0,2750.56,1,1,1,1,1,1,1,1,1
"/faq-items/what-is-this-years-water-rates/",87,57,100,100,92,3809.1,7866.26,0,16,0,3809.1,1,1,1,1,1,1,1,1,1
"/faq-items/when-is-my-bill-due/",89,62,100,100,92,1986.76,6868.49,0,16,0,2703.41,1,1,1,1,1,1,1,1,1
"/privacy-policy/",88,61,100,100,92,2007.35,6816.02,0.01,16,0,3145.66,1,1,1,1,1,1,1,1,1
"/regulatory/",86,60,100,100,85,1997.53,7106.53,0,16,0,3518.73,1,1,1,1,1,1,1,1,1
"/regulatory/sgma-groundwater/",87,62,100,100,85,1991.14,7555.81,0,16,0,2786.04,1,1,1,1,1,1,1,1,1
"/regulatory/sjr-diversion-data/",87,62,100,100,85,1988.31,5742.58,0,16,0,2794.79,1,1,1,1,1,1,1,1,1
"/transparency/",86,62,98,100,85,1987.56,7018.7,0,16,0,2764.56,1,0,1,1,1,1,1,1,1
"/transparency/budget/",86,60,100,100,85,1987.11,7544.81,0,16,0,3240.19,1,1,1,1,1,1,1,1,1
"/transparency/capital-improvement-projects/",86,59,98,100,85,2754.23,7243.36,0,16,0,3237.87,1,0,1,1,1,1,1,1,1
"/transparency/faqs/",86,60,98,100,85,1987.52,7985.22,0.01,16,0,3258.49,1,0,1,1,1,1,1,1,1
"/transparency/newsletter/",86,62,98,100,85,1985.81,6630.81,0,16,0,2877.12,1,0,1,1,1,1,1,1,1
"/transparency/policies/",87,61,100,100,85,1983.71,7388.85,0,16,0,2866.29,1,1,1,1,1,1,1,1,1
"/transparency/secured-funding-grants/",87,61,100,100,85,1988.49,7545.53,0,16,0,2794.99,1,1,1,1,1,1,1,1,1
"/website-design-system/",87,61,100,100,85,2161.72,7858.84,0,16,0,2783.85,1,1,1,1,1,1,1,1,1,1